GAME_ID,TEAM_ABBREVIATION_HOME,WL_HOME,MIN_HOME,FGA_HOME,FG3A_HOME,FTA_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,TEAM_ABBREVIATION_AWAY,FGA_AWAY,FG3A_AWAY,FTA_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY
29000465,LAL,1,240,85,7,22,45,34,6,4,14,13,HOU,100,11,16,48,26,6,5,11,22
29000466,NJN,0,240,89,11,21,41,17,13,7,21,22,POR,87,12,30,45,25,17,4,21,17
29000470,CHI,1,240,81,7,27,38,26,7,6,15,15,MIL,82,8,17,32,28,11,2,13,25
29000469,LAC,1,265,99,1,42,54,33,11,9,22,22,HOU,113,16,30,49,24,15,5,15,31
29000467,DAL,0,240,89,10,19,53,13,5,3,12,21,DET,87,8,26,51,17,3,9,9,18
29000468,ATL,1,240,87,7,29,58,20,9,7,20,18,NYK,89,9,23,45,22,12,4,13,20
29000471,LAL,1,240,84,5,31,50,36,12,10,20,21,CHH,102,1,25,41,28,12,0,17,24
29000478,PHX,1,240,103,3,26,45,38,11,9,6,15,WAS,97,6,21,47,26,3,8,17,25
29000473,NJN,0,265,94,4,38,57,23,8,14,19,23,GOS,104,9,29,57,17,13,13,14,29
29000474,MIA,1,240,91,6,29,51,23,10,10,18,27,ORL,85,4,38,47,15,10,8,21,26
29000477,UTH,1,240,93,6,22,36,39,14,6,12,21,SAN,75,4,26,36,27,6,6,24,24
29000472,IND,0,240,91,10,19,41,28,7,4,13,29,ATL,88,9,31,46,20,10,4,13,22
29000475,MIN,0,240,99,8,28,40,33,7,4,9,32,POR,88,11,45,46,31,4,11,13,25
29000476,SEA,1,240,106,11,39,54,37,17,5,12,13,DEN,100,8,15,47,18,7,4,25,27
29000484,SAN,1,240,82,5,38,49,19,7,3,12,14,DAL,80,7,12,41,20,10,4,12,27
29000481,NYK,0,240,79,10,23,45,21,3,7,20,14,MIN,100,5,13,50,30,9,5,9,22
29000486,BOS,0,240,101,4,32,59,16,4,9,13,27,GOS,90,9,32,43,22,5,5,10,20
29000482,LAC,0,240,93,3,31,43,22,11,11,16,21,WAS,89,0,24,56,23,10,7,21,25
29000485,ORL,0,240,75,10,27,47,13,4,4,23,26,CHI,91,1,30,46,15,8,4,12,19
29000483,CLE,1,240,94,5,26,49,39,14,8,13,20,MIA,81,6,22,40,27,9,4,20,26
29000479,MIL,1,240,91,8,33,41,24,10,1,12,29,IND,84,19,28,35,31,4,5,19,34
29000480,DEN,1,240,86,9,42,53,25,12,7,19,29,CHH,90,4,38,44,25,6,4,18,31
29000487,HOU,0,265,82,14,28,44,12,7,1,19,28,DET,88,4,30,49,16,7,4,17,23
